"Title","Authors","Publisher","Published Date"
"Essential University Physics","Richard Wolfson","Addison-Wesley","2006-07-17"
"Essential University Physics: Volume 2 and Masteringphysics with Pearson Etext -- Valuepack Access Card","Richard Wolfson","Pearson","2015-06-20"
"Monthly Notes of the Astronomical Society of Southern Africa","Astronomical Society of Southern Africa","Pearson","1993"
"Essential Mathematical Skills","Stephen Barry; Stephen Davis","UNSW Press","2008-01-01"
"Essentials of Medical Genetics for Health Professionals","Laura M. Gunder McClary; Gunder; Scott A. Martin","Jones & Bartlett Publishers","2010-09-17"
"Essentials of Physical Chemistry","Don Shillady","CRC Press","2011-07-27"
"10 Essentials for High Performance Quality in the 21st Century","Diomidis H. Stamatis","CRC Press","2016-07-22"
"Essentials of Pericyclic and Photochemical Reactions","Biswanath Dinda","Springer","2016-11-18"
"Essential Maths for Geoscientists","Paul I. Palmer","John Wiley & Sons","2014-06-16"
"Photochemical Key Steps in Organic Synthesis","Jochen Mattay; Axel Griesbeck","John Wiley & Sons","2008-07-11"
